config_id,project_version,routing_strategy,scheduler,time_step_s,offered_load_factor,deadline_factor,backhaul_factor,minimum_elevation_deg,rf_efficiency_factor,total_items,delivered_count,failed_count,deadline_met_items,deadline_missed_items,deadline_satisfaction_rate,critical_deadline_satisfaction_rate,delivery_ratio,average_end_to_end_latency_s,maximum_end_to_end_latency_s,contact_capacity_bits,transferred_bits,contact_utilization,selected_gs_sapporo_count,selected_gs_seoul_count,selected_gs_tokyo_count,failure_no_contact_count,failure_insufficient_capacity_count,failure_deadline_infeasible_count,failure_outside_simulation_horizon_count
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.25,1.5,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2498.542755470136,6382.830440572603,122726121.12361106,56000000.0,0.45630057796413365,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.25,1.5,1.5,10.0,0.75,4,2,2,2,2,0.5,1.0,0.5,556.3989129189022,589.6371093933263,122726121.12361106,36000000.0,0.29333608583408594,1,0,1,0,1,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,0.75,0.5,10.0,1.25,4,4,0,3,1,0.75,1.0,1.0,1875.7018369909915,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,2,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,0.75,0.5,10.0,1.25,4,4,0,3,1,0.75,1.0,1.0,1792.263102775668,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,1,1,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,0.75,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,373.045766330104,409.82971468646673,204543535.20601845,33600000.0,0.1642682080670881,1,0,2,0,0,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,1.0,0.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1875.7018369909915,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,2,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,1.0,0.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1792.263102775668,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,1,1,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,1.0,0.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1792.263102775668,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,1,1,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,1.5,0.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1875.7018369909915,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,2,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,1.5,0.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1792.263102775668,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,1,1,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,1.5,0.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1792.263102775668,6049.91511211236,204543535.20601845,69600000.0,0.34026985956753963,1,1,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,0.75,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,407.7187385282034,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,3,0,0,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,0.75,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,403.4635293205499,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.0,0.75,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,403.4635293205499,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,1.0,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,407.7187385282034,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,3,0,0,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,1.0,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,403.4635293205499,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.0,1.0,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,403.4635293205499,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,1.5,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,407.7187385282034,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,3,0,0,0,1,0,0
